 gameweek | locked_rank |   locked_tier    | overall_points_at_lock 
----------+-------------+------------------+------------------------
        3 |         238 | 1-10000          |                    237
        3 |         349 | 1-10000          |                    235
        3 |        2986 | 1-10000          |                    221
        3 |        4887 | 1-10000          |                    218
        3 |        5635 | 1-10000          |                    217
        3 |        5938 | 1-10000          |                    216
        3 |        7368 | 1-10000          |                    215
        3 |        7759 | 1-10000          |                    214
        3 |        9258 | 1-10000          |                    213
        3 |        9258 | 1-10000          |                    213
        3 |       13715 | 10001-50000      |                    210
        3 |       19267 | 10001-50000      |                    208
        3 |       19815 | 10001-50000      |                    207
        3 |       21889 | 10001-50000      |                    207
        3 |       23941 | 10001-50000      |                    206
        3 |       28383 | 10001-50000      |                    204
        3 |       30326 | 10001-50000      |                    204
        3 |       30326 | 10001-50000      |                    204
        3 |       33626 | 10001-50000      |                    204
        3 |       34509 | 10001-50000      |                    203
        3 |       36943 | 10001-50000      |                    203
        3 |       39144 | 10001-50000      |                    202
        3 |       39144 | 10001-50000      |                    202
        3 |       45244 | 10001-50000      |                    201
        3 |       45244 | 10001-50000      |                    201
        3 |       53292 | 50001-100000     |                    200
        3 |       54875 | 50001-100000     |                    200
        3 |       59408 | 50001-100000     |                    199
        3 |       59408 | 50001-100000     |                    199
        3 |       60842 | 50001-100000     |                    199
        3 |       62742 | 50001-100000     |                    198
        3 |       67395 | 50001-100000     |                    198
        3 |       69468 | 50001-100000     |                    197
        3 |       69468 | 50001-100000     |                    197
        3 |       69468 | 50001-100000     |                    197
        3 |       76491 | 50001-100000     |                    197
        3 |       78951 | 50001-100000     |                    197
        3 |       79184 | 50001-100000     |                    196
        3 |       79184 | 50001-100000     |                    196
        3 |       79184 | 50001-100000     |                    196
        3 |       87794 | 50001-100000     |                    195
        3 |       87794 | 50001-100000     |                    195
        3 |       97132 | 50001-100000     |                    194
        3 |       97132 | 50001-100000     |                    194
        3 |       97132 | 50001-100000     |                    194
        3 |      108213 | 100001-250000    |                    193
        3 |      113063 | 100001-250000    |                    193
        3 |      115890 | 100001-250000    |                    193
        3 |      125097 | 100001-250000    |                    192
        3 |      128085 | 100001-250000    |                    192
        3 |      147115 | 100001-250000    |                    190
        3 |      147115 | 100001-250000    |                    190
        3 |      153581 | 100001-250000    |                    190
        3 |      157466 | 100001-250000    |                    190
        3 |      157466 | 100001-250000    |                    190
        3 |      157466 | 100001-250000    |                    190
        3 |      163257 | 100001-250000    |                    189
        3 |      163257 | 100001-250000    |                    189
        3 |      163257 | 100001-250000    |                    189
        3 |      179646 | 100001-250000    |                    188
        3 |      190784 | 100001-250000    |                    188
        3 |      190784 | 100001-250000    |                    188
        3 |      197828 | 100001-250000    |                    187
        3 |      197828 | 100001-250000    |                    187
        3 |      205154 | 100001-250000    |                    187
        3 |      217281 | 100001-250000    |                    186
        3 |      229741 | 100001-250000    |                    186
        3 |      229741 | 100001-250000    |                    186
        3 |      238159 | 100001-250000    |                    185
        3 |      238159 | 100001-250000    |                    185
        3 |      238159 | 100001-250000    |                    185
        3 |      255479 | 250001-500000    |                    185
        3 |      262686 | 250001-500000    |                    185
        3 |      272771 | 250001-500000    |                    184
        3 |      287400 | 250001-500000    |                    184
        3 |      297223 | 250001-500000    |                    183
        3 |      297223 | 250001-500000    |                    183
        3 |      306328 | 250001-500000    |                    183
        3 |      306328 | 250001-500000    |                    183
        3 |      323092 | 250001-500000    |                    182
        3 |      323092 | 250001-500000    |                    182
        3 |      323092 | 250001-500000    |                    182
        3 |      332488 | 250001-500000    |                    182
        3 |      339166 | 250001-500000    |                    182
        3 |      339166 | 250001-500000    |                    182
        3 |      349559 | 250001-500000    |                    182
        3 |      350850 | 250001-500000    |                    181
        3 |      361010 | 250001-500000    |                    181
        3 |      361010 | 250001-500000    |                    181
        3 |      379002 | 250001-500000    |                    181
        3 |      380619 | 250001-500000    |                    180
        3 |      399469 | 250001-500000    |                    180
        3 |      413401 | 250001-500000    |                    179
        3 |      424955 | 250001-500000    |                    179
        3 |      424955 | 250001-500000    |                    179
        3 |      433251 | 250001-500000    |                    179
        3 |      460319 | 250001-500000    |                    178
        3 |      484010 | 250001-500000    |                    178
        3 |      485922 | 250001-500000    |                    177
        3 |      485922 | 250001-500000    |                    177
        3 |      507589 | 500001-1000000   |                    177
        3 |      507589 | 500001-1000000   |                    177
        3 |      507589 | 500001-1000000   |                    177
        3 |      537953 | 500001-1000000   |                    176
        3 |      547475 | 500001-1000000   |                    176
        3 |      566054 | 500001-1000000   |                    175
        3 |      591120 | 500001-1000000   |                    175
        3 |      591120 | 500001-1000000   |                    175
        3 |      591120 | 500001-1000000   |                    175
        3 |      591120 | 500001-1000000   |                    175
        3 |      591120 | 500001-1000000   |                    175
        3 |      637008 | 500001-1000000   |                    174
        3 |      685274 | 500001-1000000   |                    173
        3 |      685274 | 500001-1000000   |                    173
        3 |      685274 | 500001-1000000   |                    173
        3 |      708521 | 500001-1000000   |                    172
        3 |      724205 | 500001-1000000   |                    172
        3 |      790547 | 500001-1000000   |                    171
        3 |      790547 | 500001-1000000   |                    171
        3 |      790547 | 500001-1000000   |                    171
        3 |      790547 | 500001-1000000   |                    171
        3 |      817099 | 500001-1000000   |                    170
        3 |      850630 | 500001-1000000   |                    170
        3 |      850630 | 500001-1000000   |                    170
        3 |      850630 | 500001-1000000   |                    170
        3 |      879632 | 500001-1000000   |                    169
        3 |      898638 | 500001-1000000   |                    169
        3 |      913382 | 500001-1000000   |                    169
        3 |      913382 | 500001-1000000   |                    169
        3 |      913382 | 500001-1000000   |                    169
        3 |      939191 | 500001-1000000   |                    169
        3 |      939191 | 500001-1000000   |                    169
        3 |      943609 | 500001-1000000   |                    168
        3 |      943609 | 500001-1000000   |                    168
        3 |      963256 | 500001-1000000   |                    168
        3 |     1011088 | 1000001-1500000  |                    167
        3 |     1011088 | 1000001-1500000  |                    167
        3 |     1031472 | 1000001-1500000  |                    167
        3 |     1031472 | 1000001-1500000  |                    167
        3 |     1031472 | 1000001-1500000  |                    167
        3 |     1076781 | 1000001-1500000  |                    167
        3 |     1076781 | 1000001-1500000  |                    167
        3 |     1080694 | 1000001-1500000  |                    167
        3 |     1081993 | 1000001-1500000  |                    166
        3 |     1120753 | 1000001-1500000  |                    166
        3 |     1120753 | 1000001-1500000  |                    166
        3 |     1157599 | 1000001-1500000  |                    165
